Data;Histórico;Fech.;Var.Dia (%);Abertura;Mínimo;Medio;Máximo;Volume;Negócios
05/10/2015;96,8;96,8;1,08;96,99;95,85;96,21;96,99;1.046.103;216
02/10/2015;95,77;95,77;0,56;95,25;95,24;95,78;96,7;1.632.310;166
01/10/2015;95,24;95,24;-1,64;96,01;95,15;95,69;96,01;731.448;248
30/09/2015;96,83;96,83;0,92;95,41;95,41;96,16;96,99;850.020;137
29/09/2015;95,95;95,95;1,11;94,9;94,51;94,99;95,95;1.064.471;158
28/09/2015;94,9;94,9;-0,87;95,73;94,5;94,85;95,8;6.448.508;756
25/09/2015;95,73;95,73;1,31;95,01;95;95,72;96,89;1.909.206;778
24/09/2015;94,49;94,49;-0,75;95,2;93,56;94,17;95,2;5.336.532;1.567
23/09/2015;95,2;95,2;-0,99;97;95,15;96;97;1.889.902;1.287
22/09/2015;96,15;96,15;-0,88;97;96,05;96,42;97,95;1.523.378;1.060
21/09/2015;97;97;0,01;97,78;96,76;97,12;97,78;4.160.970;1.278
18/09/2015;96,99;96,99;-1,3;98,5;96,99;97,55;98,5;3.019.445;984
17/09/2015;98,27;98,27;0,12;99,22;98,27;98,72;99,22;1.451.331;157
16/09/2015;98,15;98,15;-0,35;99,47;98,15;98,7;99,47;1.905.230;932
15/09/2015;98,49;98,49;0,71;97,8;97,8;98,7;99,5;6.196.412;1.667
14/09/2015;97,8;97,8;0,11;97,69;96,76;97,31;97,8;2.548.320;1.059
11/09/2015;97,69;97,69;-0,02;98;97,44;97,66;98;2.299.694;626
10/09/2015;97,71;97,71;-1,65;99,29;97,51;98,21;99,29;2.194.524;2.448
09/09/2015;99,35;99,35;-0,64;99,99;98,56;99,36;100;2.668.616;1.152
08/09/2015;99,99;99,99;0,19;100;99,5;99,71;100,15;4.542.462;395
04/09/2015;99,8;99,8;-0,19;100;99,61;99,91;100,15;2.315.808;526
03/09/2015;99,99;99,99;-0,01;100;99,82;100,01;100,73;1.906.547;1.074
02/09/2015;100;100;-0,8;100,82;99,8;100,19;100,82;5.116.786;1.256
01/09/2015;100,81;100,81;-1,07;101,51;100,08;100,89;101,55;5.091.619;1.579
31/08/2015;101,9;101,9;-0,59;102,38;101,7;101,89;102,5;5.051.139;239
28/08/2015;102,5;102,5;0;103;102,02;102,53;103;1.064.967;137
27/08/2015;102,5;102,5;0,89;101,79;101,78;102,24;102,5;4.151.544;315
26/08/2015;101,6;101,6;-0,2;101,79;101,21;101,52;101,79;5.650.554;1.201
25/08/2015;101,8;101,8;0,44;101,63;101,11;101,53;102,2;2.439.195;1.065
24/08/2015;101,35;101,35;-1,04;102,36;101,12;101,68;102,99;5.250.125;837
21/08/2015;102,42;102,42;-0,56;102,99;102,35;102,56;102,99;3.672.371;1.600
20/08/2015;103;103;0,01;102,84;102,4;102,62;103,36;2.609.848;599
19/08/2015;102,99;102,99;0,18;102,9;102,4;102,69;103,44;2.605.077;628
18/08/2015;102,81;102,81;-0,47;103,15;102,41;102,93;103,5;1.817.139;218
