,Qtde.,Compra,Venda,Dividendos,Corretagem,Total da transação,Day Trade,Data,,Parcial Vendas,Tributável,Imposto,,Inicial,Parcial trades,Em ações,Utilizável,Final,Lucro,Lucro (%)
BBAS3,100,30.71,0,0,R$10.99,"-R$3,081.99",R$0.00,16102014,Consolidado,R$0.00,R$0.00,R$0.00,,"R$6,554.10",R$358.07,R$0.00,"R$6,912.17","R$6,752.41",R$198.31,3.03%
CMIG4,200,13.28,0,0,R$10.86,"-R$2,666.86",R$0.00,1122014,Consolidado,R$0.00,R$0.00,R$0.00,,,,,,,,
PETR3,100,7.95,0,0,R$10.25,-R$805.25,R$0.00,30012015,Consolidado,R$0.00,R$0.00,R$0.00,,,,,,,,
BBAS3,100,0,0,0.055,R$0.00,R$5.50,R$0.00,,Consolidado,R$0.00,R$0.00,R$0.00,,,,,,,,
PETR3,100,0,9,0,R$10.29,R$889.71,R$0.00,3022015,Consolidado,R$900.00,R$0.00,,,Ações em jogo,Quantidade,Preço atual,Valor total,,Acompanhamento,
BBAS3,100,0,0,0.288,R$0.00,R$28.80,R$0.00,,Consolidado,R$900.00,R$0.00,,,BBAS3,0,24.5,R$0.00,,ABEV3,19.18
BBAS3,100,0,21,0,R$10.68,"R$2,089.32",R$0.00,3022015,Consolidado,"R$3,000.00",-R$992.67,,,CMIG4,0,11.85,R$0.00,,BBAS3,24.5
CMIG4,200,11.45,0,0,R$10.74,"-R$2,300.74",R$0.00,6022015,Consolidado,"R$3,000.00",-R$992.67,,,PETR3,0,14.65,R$0.00,,CIEL3,42.39
CMIG4,200,0,12.5,0,R$10.81,"R$2,489.19",R$0.00,24022015,Consolidado,"R$5,500.00",-R$804.22,R$0.00,,VALE3,0,19.62,R$0.00,,CMIG3,11.9
CMIG4,200,0,0,0.155,R$0.00,R$31.00,R$0.00,,,R$0.00,R$0.00,R$0.00,,BBSE3,0,34.97,R$0.00,,TBLE3,34.25
BBAS3,100,22.5,0,0,R$10.73,"-R$2,260.73",R$0.00,6032015,Consolidado,R$0.00,R$0.00,,,PETR4,0,13.21,R$0.00,,VALE3,19.62
BBAS3,100,0,23.5,0,R$10.76,"R$2,339.24",R$0.00,18032015,Consolidado,"R$2,350.00",R$78.51,,,HGTX3,0,12.5,R$0.00,,,
VALE3,100,18.15,0,0,R$10.58,"-R$1,825.58",R$0.00,31032015,Consolidado,"R$2,350.00",R$78.51,R$0.00,,BBDC4,0,29.09,R$0.00,,,
CMIG4,200,0,13.5,0,R$10.87,"R$2,689.13",R$0.00,1042015,Consolidado,"R$2,700.00",R$22.27,,,,,,,,,
VALE3,100,0,19,0,R$10.61,"R$1,889.39",R$0.00,7042015,Consolidado,"R$4,600.00",R$86.08,,,,,,,,,
BBAS3,200,24.4,0,0,R$11.58,"-R$4,891.58",R$0.00,13042015,Consolidado,"R$4,600.00",R$86.08,,,,,,,,,
BBAS3,200,0,25.06,0,R$11.62,"R$5,000.38",R$0.00,15042015,Consolidado,"R$9,612.00",R$194.88,,,,,,,,,
PETR3,300,12.87,0,0,R$11.25,"-R$3,872.25",R$0.00,17042015,Consolidado,"R$9,612.00",R$194.88,,,,,,,,,
PETR3,300,0,13.5,0,R$11.31,"R$4,038.69",R$0.00,20042015,Consolidado,"R$13,662.00",R$361.32,,,,,,,,,
VALE3,200,17.9,0,0,R$11.16,"-R$3,591.16",R$0.00,20042015,Consolidado,"R$13,662.00",R$361.32,,,,,,,,,
VALE3,200,0,19,0,R$11.23,"R$3,788.77",R$0.00,22042015,Consolidado,"R$17,462.00",R$558.93,,,,,,,,,
VALE3,200,22,0,0,R$11.43,"-R$4,411.43",R$0.00,24042015,Consolidado,"R$17,462.00",R$558.93,,,,,,,,,
VALE3,200,0,23.07,0,R$11.49,"R$4,602.51",R$40.13,24042015,Consolidado,"R$22,076.00",R$558.93,,,,,,,,,
